ID;Woonplaatscode;Woonplaats;ProvincieCode;Gemeentecode;ProvincieName
585;WP1756    ;Ooststellingwerf                   ;;;
586;WP2244    ;De Fryske Marren                   ;;;
587;WP2402    ;Sudwest-Fryslan                    ;;;
588;WP2617    ;Terschelling                       ;;;
589;WP3394    ;Dongeradeel                        ;;;
590;WP1017    ;Midden-Groningen                   ;;;
591;WP1636    ;Noordenveld                        ;;;
592;WP1366    ;Waadhoeke                          ;;;
593;WP3111    ;Westerveld                         ;;;
594;WP2527    ;Leeuwarden                         ;;;
595;WP3345    ;Opsterland                         ;;;
596;WP1348    ;Midden-Groningen                   ;;;
597;WP3247    ;Doetinchem                         ;;;
598;WP2309    ;Sudwest-Fryslan                    ;;;
599;WP2403    ;Sudwest-Fryslan                    ;;;
600;WP3434    ;Alphen-Chaam                       ;;;
601;WP2631    ;Zaltbommel                         ;;;
602;WP2777    ;Veere                              ;;;
603;WP1057    ;Barneveld                          ;;;
